Key | EN Value | CS Value
---|---|---
rebuild.actions.send_message | Send message | Send message
rebuild.actions.try_again | Try again | Try again
rebuild.adapters.app_completed | Candidate completed the response via Jobshaman. Check the materials and decide on the next step. | Candidate completed the response via Jobshaman. Check the materials and decide on the next step.
rebuild.adapters.app_under_review | Candidate response is already under active review. Check the materials and plan the next human step. | Candidate response is already under active review. Check the materials and plan the next human step.
rebuild.adapters.assessment_center | Assessment center | Assessment center
rebuild.adapters.candidate | Candidate | Candidate
rebuild.adapters.candidate_profile | Candidate profile | Candidate profile
rebuild.adapters.challenge_summary_empty | Challenge waiting for context addition. | Challenge waiting for context addition.
rebuild.adapters.company_fallback | Company | Company
rebuild.adapters.cv_attached | CV attached. | CV attached.
rebuild.adapters.cv_not_attached | CV not attached yet. | CV not attached yet.
rebuild.adapters.experience | Experience | Experience
rebuild.adapters.first_step_default | Respond to the first practical step and name the trade-off. | Respond to the first practical step and name the trade-off.
rebuild.adapters.handshake_desc | Practical handshake over a real task. | Practical handshake over a real task.
rebuild.adapters.jcfpm_not_shared | JCFPM not shared yet. | JCFPM not shared yet.
rebuild.adapters.jcfpm_shared | JCFPM shared ({{level}}). | JCFPM shared ({{level}}).
rebuild.adapters.location_tbd | Location to be specified | Location to be specified
rebuild.adapters.no_public_signals | No public profile signals yet. | No public profile signals yet.
rebuild.adapters.public_signals | Public profile signals: {{skills}}. | Public profile signals: {{skills}}.
rebuild.adapters.role_fit | Role fit | Role fit
rebuild.adapters.signal_clarity | Signal clarity | Signal clarity
rebuild.adapters.status_label | Status: {{status}}. | Status: {{status}}.
rebuild.adapters.talent_pool_rec | Registered candidate in talent pool. Detailed story, onboarding, JCFPM and sensitive signals will appear after explicit sharing or an active handshake. | Registered candidate in talent pool. Detailed story, onboarding, JCFPM and sensitive signals will appear after explicit sharing or an active handshake.
rebuild.adapters.verify_mission | Verify work signal on real context. | Verify work signal on real context.
rebuild.admin.subtitle | CRM, statistics, and internal operations | CRM, statistics, and internal operations
rebuild.applications.fallback_role | Role | Role
rebuild.applications.handshake_badge | Skill-first Handshake | Skill-first Handshake
rebuild.assessment.group_progress | Blok {{current}} z {{total}} | Blok {{current}} z {{total}}
rebuild.auth.account_created | Account created. Confirm your email and then sign in. | Account created. Confirm your email and then sign in.
rebuild.auth.agree_prefix | I agree with | I agree with
rebuild.auth.auth_failed | Authentication failed. | Authentication failed.
rebuild.auth.bullshit_free | No CV. No bullshit filters. | No CV. No bullshit filters.
rebuild.auth.candidate_role | Candidate | Candidate
rebuild.auth.company_name_placeholder | Company name | Company name
rebuild.auth.company_role | Company | Company
rebuild.auth.consent_required | To create an account, you need to agree to the terms and conditions and privacy policy. | To create an account, you need to agree to the terms and conditions and privacy policy.
rebuild.auth.contact_support | Contact support | Contact support
rebuild.auth.email_placeholder | Enter your email | Enter your email
rebuild.auth.forgot_password | Forgot password? | Forgot password?
rebuild.auth.free_plan | Free: 5 active slots | Free: 5 active slots
rebuild.auth.full_name_placeholder | Enter your name | Enter your name
rebuild.auth.google_signin | Continue with Google | Continue with Google
rebuild.auth.hero_title | Enter a system that understands work differently. | Enter a system that understands work differently.
rebuild.auth.linkedin_signin | Continue with LinkedIn | Continue with LinkedIn
rebuild.auth.need_help | Need help? | Need help?
rebuild.auth.oauth_failed | OAuth sign-in failed. | OAuth sign-in failed.
rebuild.auth.or_email | or continue with email | or continue with email
rebuild.auth.password_placeholder | Enter your password | Enter your password
rebuild.auth.premium_plan | Premium: 25 active slots | Premium: 25 active slots
rebuild.auth.privacy | privacy policy | privacy policy
rebuild.auth.security_header | Your data is safe with us. | Your data is safe with us.
rebuild.auth.signin_action | Enter JobShaman | Enter JobShaman
rebuild.auth.signin_tab | Sign in | Sign in
rebuild.auth.signup_action | Create account | Create account
rebuild.auth.signup_tab | Create account | Create account
rebuild.auth.step1 | Entry | Entry
rebuild.auth.step2 | Sign in | Sign in
rebuild.auth.terms | terms and conditions | terms and conditions
rebuild.auth.why_data | Why do we need your data? | Why do we need your data?
rebuild.badge.candidates | Candidates | Candidates
rebuild.badge.interviews_booked | Interviews booked | Interviews booked
rebuild.briefing.next_step | Next step | Next step
rebuild.candidate.apps_desc | Active processes, saved roles, and your connections with companies. | Active processes, saved roles, and your connections with companies.
rebuild.candidate.apps_handshake | Applications and Handshake | Applications and Handshake
rebuild.candidate.greeting | Hello, {{name}} 👋 | Hello, {{name}} 👋
rebuild.candidate.journey_desc | Skill-first handshake is based on real work, not a generic form. | Skill-first handshake is based on real work, not a generic form.
rebuild.candidate.learning_desc | Skills, courses, and specific outcomes you can use in your profile and handshake. | Skills, courses, and specific outcomes you can use in your profile and handshake.
rebuild.candidate.learning_next_steps | Courses and Next Steps | Courses and Next Steps
rebuild.candidate.mission | Everyone has potential. Our mission is to reveal it. — Cybershaman | Everyone has potential. Our mission is to reveal it. — Cybershaman
rebuild.candidate.role_analysis_desc | Detailed role analysis and your personalized match. | Detailed role analysis and your personalized match.
rebuild.candidate.selected_challenge | Selected Challenge | Selected Challenge
rebuild.candidate.self_knowledge | Self-knowledge | Self-knowledge
rebuild.candidate.self_knowledge_desc | Short profile of strengths, working style, and direction for further growth. | Short profile of strengths, working style, and direction for further growth.
rebuild.candidate.skill_handshake | Skill-first handshake | Skill-first handshake
rebuild.candidate.tagline | Let\ | Let\
rebuild.companies.sections.dashboard.title | Dashboard | Dashboard
rebuild.company_landing.demo_role_title | Product Operations Lead | Product Operations Lead
rebuild.company_landing.demo_role_workspace | Role workspace | Role workspace
rebuild.company_landing.demo_stat_role | Role | Role
rebuild.company_landing.feat1_desc | First response has context. | First response has context.
rebuild.company_landing.feat1_title | No CV drops | No CV drops
rebuild.company_landing.feat2_desc | Roles, candidates, and steps together. | Roles, candidates, and steps together.
rebuild.company_landing.feat2_title | No chaos | No chaos
rebuild.company_landing.feat3_desc | Start with a single role. | Start with a single role.
rebuild.company_landing.feat3_title | No lock-in | No lock-in
rebuild.company_landing.mock_active | Active | Active
rebuild.company_landing.mock_assignment | Assignment | Assignment
rebuild.company_landing.mock_assignment_desc | Candidate solves a real-team situation | Candidate solves a real-team situation
rebuild.company_landing.mock_nav_candidates | Candidates | Candidates
rebuild.company_landing.mock_nav_decisions | Decisions | Decisions
rebuild.company_landing.mock_nav_roles | Roles | Roles
rebuild.company_landing.mock_next_step | Next step | Next step
rebuild.company_landing.mock_next_step_desc | 2 candidates ready for interview | 2 candidates ready for interview
rebuild.company_landing.mock_role_workspace | Role workspace | Role workspace
rebuild.company_landing.mock_signals | Signals | Signals
rebuild.company_landing.mock_signals_desc | 5 responses waiting for team review | 5 responses waiting for team review
rebuild.company_landing.nav_faq | FAQ | FAQ
rebuild.company_landing.plan_growth_name | Growth | Growth
rebuild.company_landing.plan_growth_price | 599 EUR | 599 EUR
rebuild.company_landing.plan_pro_name | Professional | Professional
rebuild.company_landing.plan_pro_price | 899 EUR | 899 EUR
rebuild.company_landing.plan_starter_name | Starter | Starter
rebuild.company_landing.plan_starter_price | 249 EUR | 249 EUR
rebuild.company_landing.signed_in_as | Signed in as {{name}}. | Signed in as {{name}}.
rebuild.company_landing.signup_hint | You can create a new company account via the same button. After signing in, you will proceed to create your company profile. | You can create a new company account via the same button. After signing in, you will proceed to create your company profile.
rebuild.company_landing.workflow_eyebrow | Workflow | Workflow
rebuild.company_landing.workflow_label | Workflow | Workflow
rebuild.country.at | Austria | Austria
rebuild.country.cz | Czechia | Czechia
rebuild.country.de | Germany | Germany
rebuild.country.pl | Poland | Poland
rebuild.country.sk | Slovakia | Slovakia
rebuild.dashboard.active_handshake | Active handshake | Active handshake
rebuild.dashboard.auth_required_desc | Profile, archetype, JHI, and recommendations are personal. In logged-out mode, we do not share or display them from local cache. | Profile, archetype, JHI, and recommendations are personal. In logged-out mode, we do not share or display them from local cache.
rebuild.dashboard.auth_required_title | Your data will appear after signing in. | Your data will appear after signing in.
rebuild.dashboard.company_n | Company {{n}} | Company {{n}}
rebuild.dashboard.compass | Compass | Compass
rebuild.dashboard.default_copy_1 | You see connections where others are not looking yet. | You see connections where others are not looking yet.
rebuild.dashboard.default_copy_2 | You build systems that make sense. | You build systems that make sense.
rebuild.dashboard.logged_out_subtitle | Sign in and open your personal work compass. | Sign in and open your personal work compass.
rebuild.dashboard.mentor_chat_desc | Answers go through Mistral and follow the manual of shamanic honesty. If data is missing, it should say so out loud. | Answers go through Mistral and follow the manual of shamanic honesty. If data is missing, it should say so out loud.
rebuild.dashboard.mentor_chat_title | Career conversation without the fluff | Career conversation without the fluff
rebuild.dashboard.mentor_placeholder | Write what you want to unravel... | Write what you want to unravel...
rebuild.dashboard.mentor_title | Cybershaman AI | Cybershaman AI
rebuild.dashboard.mistral_thinking | Mistral is composing a reply | Mistral is composing a reply
rebuild.dashboard.next_step | Next step | Next step
rebuild.dashboard.onboarding_pending_desc | Projděte rituálem probuzení, abychom mohli přesněji namířit váš pracovní kompas. | Projděte rituálem probuzení, abychom mohli přesněji namířit váš pracovní kompas.
rebuild.dashboard.onboarding_pending_title | Průvodce Cybershamanem není dokončen | Průvodce Cybershamanem není dokončen
rebuild.dashboard.private_compass | Private work compass | Private work compass
rebuild.dashboard.quick_inputs | Quick inputs | Quick inputs
rebuild.dashboard.risks_refining | Risks will be refined after completing JCFPM. | Risks will be refined after completing JCFPM.
rebuild.dashboard.risks_warning | Watch out for: {{risks}}. | Watch out for: {{risks}}.
rebuild.dashboard.selected_company | Selected company | Selected company
rebuild.dashboard.start_ritual | Spustit rituál | Spustit rituál
rebuild.dashboard.start_test | Start JCFPM Test | Start JCFPM Test
rebuild.dashboard.tone_source | Tone source | Tone source
rebuild.dashboard.top_signals | Top signals: {{signals}}. | Top signals: {{signals}}.
rebuild.dashboard.unlock_archetype | Unlock your archetype | Unlock your archetype
rebuild.dashboard.unlock_archetype_desc | Complete the JCFPM test to reveal your deep career identity and resonance score. | Complete the JCFPM test to reveal your deep career identity and resonance score.
rebuild.dashboard.unlock_growth | Unlock growth map | Unlock growth map
rebuild.dashboard.unlock_growth_desc | We need your JCFPM data to identify blind spots and recommend precise growth training. | We need your JCFPM data to identify blind spots and recommend precise growth training.
rebuild.dashboard.unlock_map | Map your future | Map your future
rebuild.dashboard.unlock_map_desc | Unlock your personalized growth map by completing the JCFPM assessment. | Unlock your personalized growth map by completing the JCFPM assessment.
rebuild.dashboard.value_fit | Topics that currently fit you best value-wise: {{tags}}. | Topics that currently fit you best value-wise: {{tags}}.
rebuild.dashboard.you | you | you
rebuild.day.fri | Fri | Fri
rebuild.day.mon | Mon | Mon
rebuild.day.sat | Sat | Sat
rebuild.day.sun | Sun | Sun
rebuild.day.thu | Thu | Thu
rebuild.day.tue | Tue | Tue
rebuild.day.wed | Wed | Wed
rebuild.derivations.note_promising | Promising candidate with enough structured evidence to justify a live follow-up. | Promising candidate with enough structured evidence to justify a live follow-up.
rebuild.derivations.note_strong | Strong submission with clear signal, thoughtful tradeoffs and fast next-step readiness. | Strong submission with clear signal, thoughtful tradeoffs and fast next-step readiness.
rebuild.derivations.rec_handshake | Candidate completed the handshake for {{title}}. Review and decide whether to invite them into the next live step. | Candidate completed the handshake for {{title}}. Review and decide whether to invite them into the next live step.
rebuild.derivations.rec_interview | Interview already requested for {{slot}}. Use the live review to validate the strongest signal areas. | Interview already requested for {{slot}}. Use the live review to validate the strongest signal areas.
rebuild.detail.benefits_value | Benefits value | Benefits value
rebuild.detail.commute_unknown | No commute / unknown | No commute / unknown
rebuild.detail.contract | Contract | Contract
rebuild.detail.distance | Distance | Distance
rebuild.detail.effective_rate | Effective rate | Effective rate
rebuild.detail.external_import | External import | External import
rebuild.detail.financial_reality | Financial reality | Financial reality
rebuild.detail.jhi_impact | Impact of benefits and commute on JHI finance | Impact of benefits and commute on JHI finance
rebuild.detail.monthly_costs | Monthly costs | Monthly costs
rebuild.detail.one_way_time | One-way time | One-way time
rebuild.detail.points | points | points
rebuild.detail.relocation_warning | This offer looks more like a relocation decision than a standard commute. | This offer looks more like a relocation decision than a standard commute.
rebuild.detail.saved_commute | Saved commute | Saved commute
rebuild.detail.source_native | Jobshaman native | Jobshaman native
rebuild.detail.take_home | Take-home pay | Take-home pay
rebuild.detail.taxes_deductions | Taxes and deductions | Taxes and deductions
rebuild.detail.your_tolerance | Your tolerance | Your tolerance
rebuild.error.active_company_required | An active company profile is required first. | An active company profile is required first.
rebuild.experience.linkedin_label | LinkedIn | LinkedIn
rebuild.fit.title | Skill-first fit | Skill-first fit
rebuild.insights.active_badge | Active | Active
rebuild.insights.active_cv | Active CV on profile | Active CV on profile
rebuild.insights.active_submissions | Active submissions | Active submissions
rebuild.insights.ai_story_guide | AI Story Guide | AI Story Guide
rebuild.insights.back_marketplace | Back to marketplace | Back to marketplace
rebuild.insights.border_search | Border search | Border search
rebuild.insights.commute_reality | Commute reality | Commute reality
rebuild.insights.delete | Delete | Delete
rebuild.insights.disabled | Disabled | Disabled
rebuild.insights.enabled | Enabled | Enabled
rebuild.insights.loading_cv_documents | Loading CV documents... | Loading CV documents...
rebuild.insights.loading_submissions | Loading submissions... | Loading submissions...
rebuild.insights.open_current_cv | Open current CV | Open current CV
rebuild.insights.parsed_cv_review | Parsed CV review | Parsed CV review
rebuild.insights.save_cv | Save CV review | Save CV review
rebuild.insights.saved_roles | Saved roles | Saved roles
rebuild.insights.saved_roles_nearby | Saved roles nearby | Saved roles nearby
rebuild.insights.sign_in_upload_cv | Sign in to upload CV | Sign in to upload CV
rebuild.insights.tax_profile | Tax profile | Tax profile
rebuild.insights.upload_cv | Upload CV | Upload CV
rebuild.insights.use_this_cv | Use this CV | Use this CV
rebuild.intelligence.border_active | {{country}} active | {{country}} active
rebuild.intelligence.border_disabled | {{country}} disabled | {{country}} disabled
rebuild.intelligence.domestic | domestic | domestic
rebuild.intelligence.jhi_index | JHI index | JHI index
