title,d1,d2,d3,d4,d5,d6,salary_range,growth_potential,ai_impact,remote_friendly,notes
AI Research Scientist,6.6,3.2,6.0,4.8,5.5,6.8,120-220k CZK,High,Augmentation,Hybrid,Example
Machine Learning Engineer,6.2,4.1,5.7,4.7,5.2,6.4,90-180k CZK,High,Augmentation,Hybrid,Example
Data Scientist,6.1,4.0,5.6,4.5,5.1,6.0,90-160k CZK,High,Augmentation,Hybrid,Example
Data Engineer,6.0,3.8,5.2,4.6,4.8,5.8,85-150k CZK,High,Augmentation,Hybrid,Example
Backend Engineer,5.9,3.8,5.3,4.7,4.8,5.8,80-150k CZK,High,Augmentation,Hybrid,Example
Frontend Engineer,5.5,4.3,5.1,4.6,5.2,5.4,70-140k CZK,High,Augmentation,Remote,Example
Full Stack Engineer,5.7,4.2,5.2,4.8,5.0,5.6,80-150k CZK,High,Augmentation,Hybrid,Example
DevOps Engineer,5.8,4.1,5.1,5.1,4.9,6.0,90-170k CZK,High,Augmentation,Hybrid,Example
Cybersecurity Analyst,5.7,4.1,5.1,4.6,5.3,5.6,80-150k CZK,High,Transformation,Hybrid,Example
Product Manager,5.1,5.8,5.3,4.8,5.6,5.1,90-170k CZK,High,Transformation,Hybrid,Example
Project Manager,4.8,5.6,4.9,4.7,5.2,4.8,75-140k CZK,Medium,Transformation,Hybrid,Example
UX Designer,4.9,5.4,5.2,4.3,5.8,4.7,70-140k CZK,Medium,Augmentation,Hybrid,Example
UX Researcher,5.1,5.5,5.4,4.2,6.0,4.8,70-130k CZK,Medium,Augmentation,Remote,Example
Sales Manager,4.1,6.4,5.8,5.6,5.3,4.2,80-150k CZK,Medium,Transformation,Hybrid,Example
Uklízečka / Uklízeč,3.2,4.5,4.0,3.8,4.6,3.0,30-45k CZK,Low,At Risk,Onsite,Facility cleaning
Údržbář / Technik údržby,4.4,3.8,4.4,4.3,4.6,3.6,35-55k CZK,Medium,Augmentation,Onsite,Maintenance
Skladník,3.8,4.0,4.1,4.2,4.4,3.4,30-45k CZK,Low,At Risk,Onsite,Warehouse
Řidič / Kurýr,3.6,3.9,4.2,4.4,4.3,3.5,30-55k CZK,Medium,Transformation,Onsite,Driving
Pokladní,3.4,5.2,4.0,3.9,4.5,3.2,28-40k CZK,Low,At Risk,Onsite,Retail cashier
Prodavač / Prodejní asistent,3.8,5.8,4.6,4.3,4.8,3.8,30-50k CZK,Medium,Transformation,Onsite,Retail
